state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
Utah,25000,57,1425000,157000,1.28,1824000,2003
Vermont,7000,83,581000,163000,1.96,1139000,2003
Virginia,6000,37,222000,69000,1.68,373000,2003
Washington,58000,56,3248000,942000,1.46,4742000,2003
West Virginia,8000,47,376000,194000,1.89,711000,2003
Wisconsin,74000,77,5698000,2678000,1.47,8376000,2003
Wyoming,39000,81,3159000,474000,1.41,4454000,2003
Alabama,12000,87,1044000,282000,1.41,1472000,2004
Arizona,32000,55,1760000,774000,1.11,1954000,2004
Arkansas,40000,57,2280000,388000,0.87,1984000,2004
California,390000,45,17550000,5792000,1.05,18428000,2004
Colorado,23000,80,1840000,791000,1.35,2484000,2004
Florida,205000,98,20090000,2009000,1.02,20492000,2004
Georgia,63000,49,3087000,648000,1.2,3704000,2004
Hawaii,8000,96,768000,77000,1.59,1221000,2004
Idaho,1.00E+05,63,6300000,2520000,1.02,6426000,2004
Illinois,7000,55,385000,193000,1.86,716000,2004
Indiana,7000,59,413000,145000,1.47,607000,2004
Iowa,35000,67,2345000,1337000,1.06,2486000,2004
Kansas,14000,80,1120000,683000,1.18,1322000,2004
Kentucky,5000,56,280000,34000,1.96,549000,2004
Louisiana,35000,98,3430000,240000,0.79,2710000,2004
Maine,7000,31,217000,37000,1.28,278000,2004
Michigan,65000,67,4355000,2439000,1.16,5052000,2004
Minnesota,135000,75,10125000,1924000,1.08,10935000,2004
Mississippi,18000,65,1170000,421000,0.79,924000,2004
Missouri,16000,41,656000,151000,1.36,892000,2004
Montana,140000,77,10780000,3773000,1.08,11642000,2004
Nebraska,51000,89,4539000,2043000,1.01,4584000,2004
Nevada,14000,55,770000,316000,1.78,1371000,2004
New Jersey,12000,27,324000,45000,1.4,454000,2004
New Mexico,8000,44,352000,127000,1.19,419000,2004
New York,64000,67,4288000,1887000,1.36,5832000,2004
North Carolina,9000,40,360000,72000,1.93,695000,2004
North Dakota,390000,78,30420000,9126000,1.05,31941000,2004
Ohio,16000,58,928000,353000,1.53,1420000,2004
Oregon,42000,54,2268000,1111000,1.21,2744000,2004
Pennsylvania,30000,54,1620000,810000,1.42,2300000,2004
South Dakota,215000,105,22575000,13545000,1.01,22801000,2004
Tennessee,6000,54,324000,91000,1.73,561000,2004
Texas,116000,76,8816000,1411000,0.97,8552000,2004
Utah,24000,70,1680000,554000,1.1,1848000,2004
Vermont,6000,68,408000,192000,1.51,616000,2004
Virginia,7000,38,266000,69000,2.1,559000,2004
Washington,56000,63,3528000,1376000,0.98,3457000,2004
West Virginia,9000,55,495000,183000,1.41,698000,2004
Wisconsin,68000,86,5848000,2632000,1.19,6959000,2004
Wyoming,39000,75,2925000,380000,1.1,3218000,2004
Alabama,13000,66,858000,266000,1.02,875000,2005
Arizona,36000,50,1800000,720000,1.04,1872000,2005
Arkansas,36000,69,2484000,571000,0.97,2409000,2005
California,4.00E+05,75,3.00E+07,9300000,0.86,25800000,2005
Colorado,28000,70,1960000,902000,0.97,1901000,2005
Florida,160000,86,13760000,2477000,0.87,11971000,2005
Georgia,59000,49,2891000,434000,0.89,2573000,2005
Hawaii,9000,131,1179000,283000,1.43,1686000,2005
Idaho,95000,37,3515000,1793000,0.8,2812000,2005
Illinois,8000,85,680000,408000,1.84,1251000,2005
Indiana,8000,64,512000,189000,1.18,604000,2005
Iowa,28000,88,2464000,1232000,1.21,2981000,2005
Kansas,16000,50,8.00E+05,328000,1.05,840000,2005
Kentucky,5000,50,250000,40000,2.08,520000,2005
Louisiana,35000,97,3395000,611000,0.72,2444000,2005
Maine,8000,26,208000,193000,1.66,345000,2005
Michigan,65000,68,4420000,2519000,0.94,4155000,2005
Minnesota,120000,74,8880000,1598000,0.9,7992000,2005
Mississippi,16000,80,1280000,346000,0.67,858000,2005
Missouri,15000,50,750000,180000,1.22,915000,2005
Montana,130000,67,8710000,3136000,0.86,7491000,2005
Nebraska,40000,68,2720000,2530000,0.87,2366000,2005
Nevada,12000,46,552000,442000,3.11,1717000,2005
New Jersey,12000,32,384000,104000,1.2,461000,2005
New Mexico,7000,49,343000,113000,1.03,353000,2005
New York,59000,73,4307000,2283000,1.34,5771000,2005
North Carolina,10000,54,540000,146000,1.88,1015000,2005
North Dakota,370000,91,33670000,8418000,0.83,27946000,2005
Ohio,15000,69,1035000,580000,1.4,1449000,2005
Oregon,39000,42,1638000,557000,1.08,1769000,2005
Pennsylvania,28000,56,1568000,8.00E+05,1.12,1756000,2005
South Dakota,220000,79,17380000,11818000,0.83,14425000,2005
Tennessee,7000,55,385000,92000,1.67,643000,2005
Texas,84000,71,5964000,954000,0.86,5129000,2005
Utah,24000,45,1080000,346000,0.95,1026000,2005
Vermont,6000,91,546000,169000,1.12,612000,2005
Virginia,8000,37,296000,59000,2.2,651000,2005
Washington,51000,55,2805000,1935000,1.01,2833000,2005
West Virginia,8000,51,408000,102000,1.29,526000,2005
Wisconsin,64000,83,5312000,2922000,1.14,6056000,2005
Wyoming,40000,56,2240000,291000,0.89,1994000,2005
Alabama,11000,72,792000,230000,1.21,958000,2006
Arizona,30000,65,1950000,839000,0.91,1775000,2006
Arkansas,32000,76,2432000,730000,0.89,2164000,2006
California,380000,52,19760000,7706000,0.97,19167000,2006
Colorado,36000,75,2700000,1458000,1.04,2808000,2006
Florida,170000,81,13770000,1790000,1,13770000,2006
Georgia,63000,74,4662000,746000,1.2,5594000,2006
Hawaii,10000,93,930000,233000,1.21,1125000,2006
Idaho,95000,44,4180000,2592000,0.97,4055000,2006
Illinois,10000,66,660000,356000,2.14,1412000,2006
Indiana,7000,54,378000,125000,1.58,597000,2006
Iowa,26000,84,2184000,1441000,1.37,2992000,2006
Kansas,14000,55,770000,246000,1.17,901000,2006
Kentucky,5000,56,280000,70000,2.19,613000,2006
Louisiana,30000,90,2700000,675000,0.9,2430000,2006
Maine,11000,23,253000,86000,1.6,405000,2006
Michigan,72000,55,3960000,2099000,1.15,4554000,2006
Minnesota,125000,80,1.00E+07,3300000,0.94,9400000,2006
Mississippi,14000,98,1372000,453000,0.93,1276000,2006
Missouri,15000,46,690000,117000,0.98,676000,2006
Montana,132000,79,10428000,1981000,0.95,9907000,2006
Nebraska,47000,73,3431000,3843000,0.93,3191000,2006
Nevada,9000,37,333000,50000,3.62,1205000,2006
New Jersey,9000,36,324000,152000,1.14,369000,2006
New Mexico,7000,48,336000,104000,1.19,4.00E+05,2006
New York,58000,64,3712000,2376000,1.3,4826000,2006
North Carolina,10000,50,5.00E+05,215000,1.57,785000,2006
North Dakota,350000,74,25900000,7770000,0.91,23569000,2006
Ohio,14000,56,784000,282000,1.4,1098000,2006
Oregon,46000,48,2208000,729000,1.05,2318000,2006
Pennsylvania,28000,40,1120000,605000,1.63,1826000,2006
South Dakota,225000,47,10575000,10575000,0.94,9941000,2006
Tennessee,7000,55,385000,58000,1.84,708000,2006
Texas,82000,70,5740000,976000,0.89,5109000,2006
Utah,26000,50,1300000,299000,0.98,1274000,2006
Vermont,6000,56,336000,144000,1.2,403000,2006
Virginia,8000,42,336000,114000,2.2,739000,2006
Washington,49000,52,2548000,1605000,1.24,3160000,2006
West Virginia,6000,42,252000,68000,2.02,509000,2006
Wisconsin,64000,93,5952000,2500000,1.12,6666000,2006
Wyoming,39000,85,3315000,497000,0.98,3249000,2006
Alabama,11000,56,616000,209000,1.49,918000,2007
Arizona,30000,64,1920000,902000,1.26,2419000,2007
Arkansas,28000,80,2240000,672000,0.95,2128000,2007
California,340000,40,13600000,3672000,1.04,14144000,2007
Colorado,31000,51,1581000,838000,1.15,1818000,2007
Florida,160000,71,11360000,1363000,0.99,11246000,2007
Georgia,60000,58,3480000,522000,1.19,4141000,2007
Hawaii,10000,92,920000,285000,1.7,1564000,2007
Idaho,92000,41,3772000,1848000,1.15,4338000,2007
Illinois,9000,63,567000,374000,2.49,1412000,2007
Indiana,8000,53,424000,119000,1.5,636000,2007
Iowa,26000,81,2106000,1221000,1.31,2759000,2007
Kansas,14000,40,560000,196000,1.18,661000,2007
Kentucky,4000,61,244000,54000,2.12,517000,2007
Louisiana,29000,89,2581000,413000,1.08,2787000,2007
Maine,9000,26,234000,59000,1.32,309000,2007
Michigan,72000,64,4608000,2350000,1.19,5484000,2007
Minnesota,130000,68,8840000,2564000,1.04,9194000,2007
Mississippi,15000,92,1380000,166000,0.91,1256000,2007
Missouri,14000,46,644000,148000,1.12,721000,2007
Montana,135000,68,9180000,2479000,0.99,9088000,2007
Nebraska,45000,49,2205000,1477000,1.03,2271000,2007
Nevada,10000,28,280000,67000,2.99,837000,2007
New Jersey,9000,57,513000,185000,1.96,1005000,2007
New Mexico,6000,59,354000,138000,1.42,503000,2007
New York,53000,57,3021000,1843000,1.38,4169000,2007
North Carolina,12000,45,540000,76000,2.49,1345000,2007
North Dakota,420000,74,31080000,9013000,0.96,29837000,2007
Ohio,14000,61,854000,376000,1.77,1512000,2007
Oregon,46000,43,1978000,1088000,1.31,2591000,2007
Pennsylvania,25000,42,1050000,326000,1.7,1785000,2007
South Dakota,255000,52,13260000,10608000,1.02,13525000,2007
Tennessee,7000,65,455000,114000,1.99,905000,2007
Texas,105000,82,8610000,1550000,0.96,8266000,2007
Utah,28000,42,1176000,270000,1.13,1329000,2007
Vermont,5000,64,320000,96000,1.7,544000,2007
Virginia,6000,46,276000,63000,2.43,671000,2007
Washington,46000,44,2024000,648000,1.25,2530000,2007
West Virginia,6000,48,288000,95000,2.09,602000,2007
Wisconsin,60000,84,5040000,3024000,1.22,6149000,2007
Wyoming,43000,80,3440000,894000,1,3440000,2007
Alabama,9000,66,594000,214000,1.9,1129000,2008
Arizona,25000,64,1600000,336000,1.26,2016000,2008
Arkansas,28000,75,2100000,525000,1.35,2835000,2008
California,360000,51,18360000,4039000,1.39,25520000,2008
Colorado,27000,45,1215000,656000,1.51,1835000,2008
Florida,150000,79,11850000,1304000,1.32,15642000,2008
Georgia,65000,71,4615000,369000,1.52,7015000,2008
Hawaii,10000,90,9.00E+05,225000,1.59,1431000,2008
Idaho,90000,40,3600000,1440000,1.46,5256000,2008
Illinois,8000,56,448000,116000,2.59,1160000,2008
Indiana,7000,67,469000,150000,1.68,788000,2008
Iowa,24000,62,1488000,580000,1.58,2351000,2008
Kansas,10000,61,610000,128000,1.55,946000,2008
Kentucky,4000,39,156000,27000,2.44,381000,2008
Louisiana,40000,77,3080000,493000,1.36,4189000,2008
Maine,7000,42,294000,79000,1.57,462000,2008
Michigan,71000,73,5183000,2021000,1.44,7464000,2008
Minnesota,122000,78,9516000,2569000,1.39,13227000,2008
Mississippi,14000,98,1372000,110000,1.3,1784000,2008
Missouri,11000,53,583000,152000,1.68,979000,2008
Montana,134000,70,9380000,4596000,1.37,12851000,2008
Nebraska,36000,67,2412000,1254000,1.45,3497000,2008
Nevada,10000,29,290000,52000,1.42,412000,2008
New Jersey,9000,40,360000,122000,1.62,583000,2008
New Mexico,6000,48,288000,95000,1.48,426000,2008
New York,50000,70,3500000,1260000,1.65,5775000,2008
North Carolina,12000,52,624000,137000,2.18,1360000,2008
North Dakota,4.00E+05,90,3.60E+07,8640000,1.36,48960000,2008
Ohio,14000,53,742000,371000,1.68,1247000,2008
Oregon,50000,43,2150000,1097000,1.41,3032000,2008
Pennsylvania,23000,48,1104000,276000,1.65,1822000,2008
South Dakota,225000,95,21375000,11970000,1.34,28643000,2008
Tennessee,7000,61,427000,149000,2.09,892000,2008
Texas,77000,64,4928000,1380000,1.34,6604000,2008
Utah,28000,48,1344000,242000,1.57,2110000,2008
Vermont,5000,66,330000,119000,2.2,726000,2008
Virginia,6000,42,252000,45000,2.42,610000,2008
Washington,49000,44,2156000,862000,1.51,3256000,2008
West Virginia,6000,43,258000,49000,2.16,557000,2008
Wisconsin,58000,80,4640000,2366000,1.5,6960000,2008
Wyoming,39000,61,2379000,381000,1.37,3259000,2008
Alabama,9000,50,450000,68000,1.86,837000,2009
Arizona,20000,52,1040000,562000,1.45,1508000,2009
Arkansas,24000,57,1368000,301000,1.42,1943000,2009
California,355000,33,11715000,2109000,1.39,16284000,2009
Colorado,28000,53,1484000,326000,1.43,2122000,2009
Florida,170000,68,11560000,1618000,1.42,16415000,2009
Georgia,65000,41,2665000,346000,1.47,3918000,2009
Hawaii,10000,95,950000,323000,1.76,1672000,2009
Idaho,103000,46,4738000,1706000,1.52,7202000,2009
Illinois,8000,34,272000,57000,2.55,694000,2009
Indiana,9000,32,288000,101000,2.02,582000,2009
Iowa,26000,42,1092000,339000,1.6,1747000,2009
Kansas,9000,63,567000,164000,1.85,1049000,2009
Kentucky,5000,35,175000,25000,2.71,474000,2009
Louisiana,37000,103,3811000,610000,1.36,5183000,2009
Maine,6000,50,3.00E+05,51000,1.95,585000,2009
Michigan,66000,60,3960000,1505000,1.55,6138000,2009
Minnesota,122000,65,7930000,1427000,1.44,11419000,2009
Mississippi,14000,104,1456000,87000,1.32,1922000,2009
Missouri,11000,47,517000,57000,1.99,1029000,2009
Montana,146000,70,10220000,3577000,1.46,14921000,2009
Nebraska,48000,56,2688000,1102000,1.46,3924000,2009
New Jersey,11000,32,352000,70000,2.36,831000,2009
New Mexico,7000,60,420000,143000,1.59,668000,2009
New York,45000,65,2925000,936000,1.93,5645000,2009
North Carolina,11000,45,495000,84000,2.57,1272000,2009
North Dakota,450000,77,34650000,7623000,1.38,47817000,2009
Ohio,11000,50,550000,132000,2.81,1546000,2009
Oregon,55000,34,1870000,767000,1.54,2880000,2009
Pennsylvania,21000,40,840000,319000,2.03,1705000,2009
South Dakota,270000,66,17820000,6237000,1.42,25304000,2009
