,Age,Overall,Potential
986,35,77,77
987,26,77,80
988,30,77,77
989,29,77,77
990,33,77,77
991,21,77,86
992,28,77,77
993,24,77,81
994,27,77,79
995,31,77,77
996,33,77,77
997,26,77,78
998,23,77,85
999,29,77,77
1000,21,77,86
1001,30,77,77
1002,33,77,77
1003,24,77,83
1004,26,77,78
1005,27,77,78
1006,30,77,77
1007,26,77,80
1008,29,77,77
1009,26,77,80
1010,30,77,77
1011,20,77,86
1012,23,77,83
1013,36,77,77
1014,29,77,78
1015,33,77,77
1016,29,77,77
1017,27,77,78
1018,30,77,77
1019,30,77,77
1020,25,77,81
1021,25,77,82
1022,24,77,82
1023,34,77,77
1024,22,77,83
1025,26,77,80
1026,25,77,77
1027,34,77,77
1028,28,77,78
1029,23,77,82
1030,30,77,77
1031,33,77,77
1032,27,77,77
1033,26,77,80
1034,28,77,77
1035,25,77,80
1036,35,77,77
1037,28,77,77
1038,24,77,82
1039,27,77,77
1040,32,77,77
1041,31,77,77
1042,27,77,77
1043,26,77,79
1044,29,77,78
1045,34,77,77
1046,23,77,80
1047,33,77,77
1048,35,77,77
1049,27,77,79
1050,25,77,79
1051,22,77,83
1052,33,77,77
1053,24,77,82
1054,31,77,77
1055,28,77,77
1056,26,77,80
1057,22,77,86
1058,26,77,78
1059,37,77,77
1060,22,77,85
1061,28,77,77
1062,25,77,82
1063,37,77,77
1064,27,77,77
1065,26,77,78
1066,34,77,77
1067,24,77,80
1068,24,77,82
1069,24,77,82
1070,25,77,78
1071,25,77,77
1072,23,77,82
1073,33,77,77
1074,25,77,80
1075,25,77,81
1076,33,77,77
1077,34,77,77
1078,30,77,77
1079,24,77,80
1080,26,77,80
1081,21,77,85
1082,27,77,78
1083,25,77,78
1084,26,77,80
1085,25,77,80
1086,23,77,85
1087,29,77,77
1088,32,77,77
1089,23,77,84
1090,27,77,78
1091,20,77,85
1092,28,77,77
1093,35,77,77
1094,34,77,77
1095,27,77,78
1096,23,77,81
1097,21,77,88
1098,26,77,78
1099,24,77,82
1100,31,77,77
1101,23,77,81
1102,24,77,81
1103,36,77,77
1104,24,77,80
1105,27,77,78
1106,27,77,78
1107,21,77,83
1108,25,77,77
1109,28,77,77
1110,24,77,82
1111,21,77,86
1112,25,77,84
1113,26,77,79
1114,35,77,77
1115,21,77,85
1116,31,77,77
1117,27,77,77
1118,29,77,77
1119,30,77,77
1120,25,77,77
1121,29,77,77
1122,29,77,77
1123,31,77,77
1124,29,77,77
1125,29,77,77
1126,26,77,81
1127,23,77,84
1128,29,77,77
1129,25,77,80
1130,30,77,77
1131,29,77,77
1132,23,77,81
1133,30,77,77
1134,29,77,77
1135,29,77,78
1136,27,77,77
1137,23,77,84
1138,24,77,81
1139,33,77,77
1140,22,77,83
1141,23,77,82
1142,32,77,77
1143,27,77,79
1144,29,77,77
1145,26,77,79
1146,27,77,79
1147,31,77,77
1148,27,77,79
1149,33,77,77
1150,29,77,77
1151,28,77,78
1152,32,77,77
1153,24,77,85
1154,24,77,82
1155,22,77,85
1156,21,77,85
1157,32,77,77
1158,23,77,83
1159,30,77,77
1160,22,77,84
1161,21,77,83
1162,20,77,86
1163,28,77,77
1164,29,77,77
1165,31,77,77
1166,26,77,80
1167,28,77,77
1168,27,77,77
1169,25,77,80
1170,26,77,77
1171,26,77,79
1172,22,77,84
1173,21,77,84
1174,32,77,77
1175,19,77,87
1176,29,77,77
1177,26,77,80
1178,27,77,78
1179,25,77,79
1180,23,77,82
1181,28,77,77
1182,30,77,77
1183,27,77,78
1184,30,77,77
1185,26,77,81
1186,27,77,78
1187,25,77,80
1188,20,77,86
1189,29,77,77
1190,23,77,82
1191,31,77,77
1192,33,77,77
1193,22,77,83
1194,25,77,82
1195,24,77,81
1196,29,77,77
1197,27,77,78
1198,31,77,77
1199,26,77,81
1200,26,77,81
1201,32,77,77
1202,32,77,77
1203,25,77,81
1204,26,77,78
1205,27,77,77
1206,31,77,77
1207,31,77,77
1208,21,77,87
1209,23,77,82
1210,26,77,80
1211,30,77,77
1212,28,77,77
1213,24,77,80
1214,24,77,83
1215,24,77,84
1216,28,77,77
1217,30,76,76
1218,23,76,82
1219,30,76,76
1220,30,76,76
1221,29,76,76
1222,28,76,76
1223,22,76,82
1224,20,76,84
1225,25,76,76
1226,28,76,76
1227,34,76,76
1228,30,76,76
1229,22,76,83
1230,25,76,76
1231,29,76,76
1232,26,76,77
1233,25,76,80
1234,21,76,84
1235,35,76,76
1236,27,76,78
1237,19,76,86
1238,34,76,76
1239,34,76,76
1240,28,76,77
1241,25,76,78
1242,24,76,80
1243,26,76,77
1244,27,76,78
1245,21,76,86
1246,26,76,79
1247,25,76,77
1248,20,76,86
1249,33,76,76
1250,23,76,82
1251,28,76,76
1252,33,76,76
1253,26,76,79
1254,27,76,76
1255,33,76,76
1256,21,76,85
1257,25,76,79
1258,29,76,76
1259,31,76,76
1260,27,76,77
1261,27,76,77
1262,30,76,76
1263,29,76,76
1264,28,76,76
1265,27,76,76
1266,22,76,85
1267,30,76,76
1268,29,76,76
1269,24,76,82
1270,26,76,78
1271,23,76,81
1272,24,76,79
1273,34,76,76
1274,26,76,78
1275,33,76,76
1276,35,76,76
1277,32,76,76
1278,30,76,76
1279,23,76,83
1280,22,76,80
1281,31,76,76
1282,28,76,77
1283,31,76,76
1284,21,76,83
1285,28,76,76
1286,29,76,76
1287,28,76,76
1288,31,76,76
1289,27,76,76
1290,33,76,76
1291,32,76,76
1292,31,76,76
1293,26,76,78
1294,35,76,76
1295,28,76,77
1296,27,76,77
1297,26,76,76
1298,36,76,76
1299,26,76,79
1300,28,76,76
1301,24,76,82
1302,23,76,85
1303,31,76,76
1304,34,76,76
1305,31,76,76
1306,29,76,76
1307,28,76,77
1308,30,76,76
1309,22,76,83
1310,23,76,80
1311,27,76,76
1312,24,76,81
1313,25,76,78
1314,20,76,84
1315,29,76,76
1316,30,76,76
1317,24,76,79
1318,23,76,81
1319,33,76,76
1320,27,76,76
1321,33,76,76
1322,31,76,76
1323,27,76,77
1324,31,76,76
1325,31,76,76
1326,32,76,76
1327,32,76,76
1328,27,76,77
1329,25,76,80
1330,21,76,82
1331,29,76,76
1332,28,76,76
1333,28,76,76
1334,20,76,83
1335,23,76,81
1336,31,76,76
1337,31,76,76
1338,19,76,88
1339,25,76,79
1340,23,76,81
1341,33,76,76
1342,33,76,76
1343,29,76,76
1344,25,76,76
1345,27,76,77
1346,24,76,79
1347,26,76,78
1348,33,76,76
1349,30,76,76
1350,28,76,76
1351,36,76,76
1352,26,76,76
1353,25,76,76
1354,20,76,85
1355,30,76,77
1356,26,76,77
1357,29,76,76
1358,27,76,77
1359,24,76,81
1360,23,76,80
1361,33,76,76
1362,31,76,76
1363,31,76,76
1364,27,76,77
1365,33,76,76
1366,32,76,76
1367,34,76,76
1368,26,76,77
1369,28,76,76
1370,29,76,76
1371,22,76,82
1372,33,76,76
1373,35,76,76
1374,30,76,76
1375,27,76,77
1376,29,76,76
1377,27,76,78
1378,28,76,76
1379,31,76,76
1380,30,76,76
1381,24,76,81
1382,27,76,76
1383,26,76,77
1384,26,76,77
1385,21,76,82
1386,24,76,81
1387,19,76,86
1388,32,76,76
1389,25,76,79
1390,29,76,76
1391,34,76,76
1392,31,76,76
1393,22,76,83
1394,28,76,76
1395,26,76,79
1396,27,76,76
1397,31,76,76
1398,33,76,76
1399,24,76,79
1400,27,76,77
1401,30,76,76
1402,23,76,78
1403,32,76,76
1404,21,76,84
1405,28,76,76
1406,29,76,76
1407,25,76,79
1408,40,76,76
1409,24,76,79
1410,25,76,76
1411,33,76,76
1412,22,76,83
1413,21,76,84
1414,29,76,76
1415,29,76,76
1416,29,76,76
1417,25,76,81
1418,31,76,76
1419,28,76,76
1420,29,76,76
1421,27,76,77
1422,24,76,82
1423,25,76,79
1424,30,76,76
1425,27,76,77
1426,28,76,76
1427,29,76,76
1428,32,76,76
1429,29,76,76
1430,23,76,82
1431,24,76,82
1432,28,76,76
1433,25,76,79
1434,27,76,76
1435,24,76,81
1436,21,76,84
1437,25,76,79
1438,21,76,83
1439,32,76,76
1440,29,76,76
1441,32,76,76
1442,27,76,77
1443,28,76,76
1444,23,76,86
1445,30,76,76
1446,27,76,77
1447,20,76,88
1448,26,76,79
1449,26,76,77
1450,24,76,82
1451,21,76,85
1452,29,76,76
1453,29,76,76
1454,25,76,80
1455,20,76,83
1456,27,76,77
1457,30,76,76
1458,29,76,76
1459,25,76,79
1460,23,76,80
1461,30,76,76
1462,27,76,76
1463,33,76,76
1464,30,76,76
1465,32,76,76
1466,33,76,76
1467,31,76,76
1468,31,76,76
1469,27,76,78
1470,28,76,76
1471,25,76,76
1472,20,76,85
1473,27,76,78
1474,28,76,76
1475,23,76,82
1476,25,76,76
1477,24,76,79
1478,29,76,76
1479,27,76,78
1480,23,76,83
1481,27,76,77
1482,22,76,80
1483,29,76,76
1484,23,76,84
1485,20,76,84
1486,26,76,76
1487,27,76,77
1488,29,76,76
1489,31,76,76
1490,22,76,84
1491,26,76,79
1492,29,76,76
1493,31,76,76
1494,30,76,76
1495,26,76,77
1496,24,76,81
1497,25,76,80
1498,32,76,76
1499,25,76,79
1500,20,76,84
1501,34,76,76
1502,29,76,76
1503,31,76,76
1504,25,76,79
1505,27,76,76
1506,27,76,76
1507,23,76,82
1508,29,76,76
1509,20,76,85
1510,33,76,76
1511,28,76,76
1512,29,76,76
1513,32,76,76
1514,29,76,76
1515,20,76,84
1516,34,76,76
1517,25,76,80
1518,29,76,76
1519,27,76,77
1520,21,76,84
1521,28,76,76
1522,25,76,76
1523,28,76,76
1524,33,76,76
1525,22,76,82
1526,20,76,87
1527,33,76,76
1528,24,76,82
1529,26,76,79
1530,27,76,79
1531,29,76,76
1532,25,76,77
1533,22,76,86
1534,37,76,76
1535,24,76,82
1536,24,76,81
1537,38,76,76
1538,29,76,76
1539,29,76,76
1540,20,76,86
1541,23,76,81
1542,31,76,76
1543,30,76,76
1544,26,76,77
1545,24,76,80
1546,30,76,76
1547,24,76,81
1548,30,76,76
1549,36,76,76
1550,24,76,81
1551,23,76,82
1552,28,76,77
1553,34,76,76
1554,29,76,76
1555,17,76,89
1556,24,76,81
1557,24,76,81
1558,28,76,77
1559,28,76,76
1560,24,76,78
1561,21,76,86
1562,28,76,76
1563,28,76,77
1564,28,76,76
1565,25,76,78
1566,23,76,81
1567,32,76,76
1568,29,76,76
1569,27,76,76
1570,31,76,76
1571,27,76,76
1572,26,76,77
1573,25,76,79
1574,23,76,82
1575,31,76,76
1576,36,76,76
1577,27,76,78
1578,26,76,77
1579,27,76,76
1580,23,76,82
1581,31,76,76
1582,24,76,79
1583,24,76,81
1584,33,76,76
1585,25,76,82
1586,26,76,79
1587,32,75,75
1588,22,75,86
1589,24,75,78
1590,28,75,77
1591,30,75,75
1592,29,75,75
1593,28,75,75
1594,23,75,80
1595,30,75,75
1596,31,75,75
1597,27,75,77
1598,33,75,75
1599,25,75,75
1600,28,75,76
1601,29,75,75
1602,23,75,81
1603,31,75,75
1604,29,75,75
1605,28,75,75
1606,23,75,81
1607,28,75,75
1608,31,75,75
1609,27,75,75
1610,33,75,75
1611,32,75,75
1612,30,75,75
1613,37,75,75
1614,28,75,76
1615,27,75,76
1616,22,75,82
1617,29,75,75
1618,26,75,78
1619,23,75,81
1620,22,75,79
1621,33,75,75
1622,25,75,78
1623,29,75,76
1624,28,75,75
1625,22,75,85
1626,33,75,75
1627,26,75,77
1628,23,75,80
1629,28,75,75
1630,29,75,75
1631,27,75,75
1632,31,75,75
1633,19,75,87
1634,28,75,76
1635,25,75,80
1636,23,75,79
1637,28,75,75
1638,29,75,75
1639,34,75,75
1640,24,75,79
1641,28,75,75
1642,25,75,75
1643,29,75,75
1644,34,75,75
1645,22,75,83
1646,32,75,75
1647,26,75,76
1648,25,75,76
1649,25,75,78
1650,28,75,75
1651,28,75,75
1652,26,75,75
1653,25,75,80
1654,27,75,76
1655,25,75,78
1656,25,75,77
1657,29,75,75
1658,22,75,84
1659,26,75,76
1660,32,75,75
1661,26,75,76
1662,20,75,84
1663,25,75,75
